time	f0
0.037	49.41
0.047	49.37
0.057	49.37
0.087	54.9
0.097	54.84
0.147	123.87
0.157	124.09
0.167	124.87
0.177	127.03
0.187	127.52
0.197	127.06
0.207	125.93
0.217	124.04
0.227	122.33
0.237	121.15
0.247	120.32
0.257	119.49
0.267	119.38
0.277	119.24
0.287	118.64
0.297	117.51
0.307	115.44
0.317	114.82
0.327	112.02
0.337	111.66
0.347	117.18
0.357	124.68
0.367	124.74
0.377	120.37
0.387	115.58
0.397	113.89
0.407	114.55
0.417	118.44
0.427	119.96
0.437	121.23
0.447	125.12
0.457	125.59
0.467	124.14
0.477	119.2
0.487	115.69
0.497	115.78
0.507	115.97
0.517	115.86
0.527	114.83
0.677	56.38
0.687	56.31
0.697	56.37
0.757	103.85
0.767	103.51
0.777	106.6
0.787	106.68
0.797	106.78
0.807	106.54
0.817	105.95
0.827	105.41
0.837	104.89
0.847	104.18
0.857	103.4
0.867	102.59
0.877	103.04
0.887	103.29
0.907	45.12
0.917	45.45
0.927	46.16
0.937	45.88
0.947	51.59
0.957	51.96
0.967	51.99
0.977	51.51
0.987	51.21
0.997	50.58
1.007	57.52
1.017	57.5
1.027	50.57
1.037	51.36
1.047	51.48
1.057	51.06
1.067	50.87
1.077	51.02
1.087	50.8
1.097	49.63
1.107	50.02
1.117	50.67
1.127	51.16
1.137	51.16
1.147	50.62
1.157	49.92
1.167	49.93
1.177	49.98
1.187	50.8
1.197	50.78
1.277	45.45
1.287	45.35
1.297	45.45
1.307	45.58
1.317	45.72
1.327	45.69
1.337	45.61
1.347	45.6
1.357	45.69
1.367	45.72
1.377	45.65
1.387	45.54
1.397	45.55
1.407	45.56
1.417	45.47
1.427	45.13
1.437	52.17
1.447	52.04
1.457	51.92
1.467	92.9
1.477	93.74
1.487	92.82
1.497	92.13
1.507	91.53
1.517	90.8
1.527	90.22
1.557	47.58
1.567	47.56
1.577	46.9
1.587	46.06
1.597	45.85
1.607	45.85
1.617	46.24
1.627	47.02
1.637	47.19
1.797	44.94
1.807	45.19
1.817	45.17
1.827	45.02
1.837	44.92
2.297	54.53
2.307	54.58
2.317	54.6
2.327	54.58
2.337	54.58
2.347	55.05
2.357	55.62
2.367	55.61
2.377	55.56
2.387	55.53
2.397	55.52
2.407	55.47
2.417	55.76
2.427	55.75
2.437	55.1
2.447	54.93
2.457	53.27
2.467	52.11
2.477	51.54
2.657	51.35
2.667	51.41
2.677	53.66
2.687	53.22
2.697	52.33
2.707	52.64
2.717	52.93
2.727	53.84
2.747	135.94
2.757	142.31
2.767	144.08
2.777	148.05
2.787	150.7
2.797	151.9
2.807	153.23
2.817	156.99
2.827	166.18
2.837	168.22
2.847	170.03
2.857	173.05
2.867	173.64
2.877	172.81
2.887	170.98
2.897	169
2.907	168.31
2.917	167.99
2.927	168.76
2.937	171.21
3.187	55.73
3.197	56.07
3.207	54.95
3.217	54.42
3.227	54.48
3.237	55.71
3.247	55.74
3.257	55.75
3.267	55.53
3.277	55.5
3.327	56.18
3.337	56.2
3.347	56.11
3.657	106.63
3.667	106.04
3.677	104.5
3.687	103.96
3.697	104.66
3.707	104.83
3.717	104.85
3.787	104.72
3.797	104.57
3.807	103.87
3.817	103.12
3.827	102.27
3.837	101.57
3.847	101.04
3.857	101.11
3.867	101.47
3.877	101.59
3.887	101.37
3.897	101.47
3.907	101.85
3.917	50.6
3.927	50.26
3.937	50.19
3.947	50.53
3.957	50.88
3.967	50.99
3.977	51.01
3.997	126.24
4.007	126.28
4.017	100.29
4.027	99.93
4.037	99.55
4.047	99.58
4.057	99.85
4.067	100.39
4.077	100.77
4.087	100.45
4.097	100.35
4.107	100.3
4.117	100.03
4.127	99.5
4.137	99.6
4.147	100.41
4.157	100.57
4.167	100.44
4.177	99.87
4.187	98.98
4.197	98.44
4.207	97.28
4.217	96.99
4.347	96.67
4.357	96.74
4.367	96.44
4.377	95.81
4.387	94.95
4.397	93.95
4.407	93.39
4.417	93.25
4.427	93.33
4.437	93.33
4.497	95.2
4.507	95.11
4.517	97.43
