time	f0
1.33	232.95
1.34	212.7
1.35	204.62
1.36	201.1
1.37	199.46
1.38	197.35
1.39	196.37
1.4	196.89
1.41	197.91
1.42	198.59
1.43	197.3
1.44	196.69
1.45	198.35
1.46	199.45
1.47	199.26
1.48	197.51
1.49	194.87
1.5	194.21
1.51	199.01
1.52	199.62
1.61	199.69
1.62	194.79
1.63	196.39
1.64	196.96
1.65	195.9
1.66	195.82
1.67	200.4
1.68	200.7
1.73	257.79
1.74	251.35
1.75	246.85
1.76	244.19
1.77	232.02
1.78	219.69
1.79	211.6
1.8	213.99
1.81	217.06
1.82	213.75
1.83	212.52
1.84	213.02
1.85	213.25
1.86	215.49
1.87	217.72
1.88	221.93
1.89	222
1.9	225.47
1.91	230.91
1.92	233.28
1.93	222.4
1.94	219.85
1.95	219.58
1.96	221.94
1.97	224.1
1.98	224.9
1.99	226.58
2	223.98
2.01	224.52
2.02	218.04
2.03	220.83
2.17	241.94
2.18	230.44
2.19	220.06
2.2	210.2
2.21	208.14
2.22	219.19
2.23	225.33
2.24	215.05
2.25	210.59
2.26	212.8
2.27	212.31
2.36	107.24
2.37	106.33
2.38	106.81
2.39	107.87
2.4	106.79
2.41	106.57
2.42	106.8
2.43	107.05
2.44	105.71
2.45	106.76
2.46	106.31
2.47	105.95
2.48	105.77
2.49	105.1
2.5	105.05
2.51	105.11
2.52	106.89
2.53	108.57
2.54	108.08
2.55	108.17
2.61	241.94
2.62	222.36
2.63	213.43
2.64	212.09
2.65	211.84
2.66	212.06
2.67	210.45
2.68	212.2
2.69	212.94
2.7	212.66
2.71	214.88
2.72	215.07
2.73	217.47
2.74	219.64
2.75	211.71
2.76	217.57
2.77	217.63
2.78	217.97
2.79	211.74
2.8	212.39
2.81	212.53
2.82	210.7
2.83	215.85
2.84	216.31
2.85	219.13
2.86	220.19
2.87	219.69
2.88	221.04
2.89	205.89
2.9	209.47
2.91	211.71
2.95	233.28
2.96	230.71
2.97	217.35
2.98	208.84
2.99	207.16
3	207.63
3.01	206.64
3.02	206.43
3.03	205.35
3.04	201.89
3.05	195.72
3.06	196.8
3.07	197.86
3.08	200.91
3.09	196.91
3.1	196.55
3.11	194.98
3.12	214.01
3.13	209.39
3.14	206.69
3.15	204.22
3.16	198.11
3.17	192.96
3.18	197.25
3.19	201.34
3.2	204.38
3.21	207.96
3.22	109.96
3.23	111.97
3.24	109.8
3.25	106.95
3.26	106.1
3.27	105.96
3.28	109.59
3.29	109.46
3.3	108.36
3.31	106.27
3.32	104.47
3.43	114.54
3.44	110.11
3.45	107.35
3.46	107.94
3.47	109.59
3.48	111.37
3.49	112.35
3.5	109.62
3.51	106.5
3.52	107.94
3.58	111.72
3.59	111.43
3.6	109.81
3.61	108.65
3.62	108.22
3.63	107.45
3.64	107.6
3.65	105.72
3.66	105.94
3.67	105.4
3.68	105.91
3.69	106.32
3.7	108.11
3.71	109.18
3.72	107.5
3.73	105.9
3.74	105.22
3.75	105.87
3.76	106.99
3.77	106.6
3.78	111.39
3.79	112.76
3.8	219.9
3.81	217.68
3.82	217.97
3.83	218.78
3.84	220.92
3.85	220.19
3.86	217.56
3.87	218.29
3.88	217.95
3.89	219.66
3.9	219.16
3.91	218.68
3.92	217.37
3.93	218.36
3.94	221.41
3.96	226.21
3.97	227.59
3.98	226.86
3.99	222.99
4	220.71
4.01	223.51
