time	f0
0.427	154.75
0.437	150.36
0.447	149.85
0.457	149.94
0.467	151.44
0.477	149.73
0.487	146.31
0.497	145.42
0.507	146.8
0.517	143.92
0.527	138.14
0.537	138.05
0.547	136.44
0.557	138.3
0.567	135.42
0.577	129.89
0.587	133.05
0.597	135.1
0.607	132.81
0.617	126.96
0.627	131.52
0.637	140.47
0.647	144.25
0.657	134.55
0.667	129.23
0.677	125.11
0.687	130.87
0.697	127.79
0.707	128.5
0.847	141.09
0.857	141.98
0.867	140.35
0.877	136.44
0.887	134.06
0.897	135.82
0.907	137.26
0.917	142.45
0.927	145.49
0.937	146.27
0.947	147.88
0.957	147.59
0.967	146.63
0.977	146.13
0.987	142.08
0.997	138.43
1.007	134.13
1.017	131.85
1.027	132.02
1.037	130.19
1.047	127.7
1.057	129.5
1.147	157.71
1.157	155.48
1.167	156.91
1.177	159.31
1.187	162.35
1.197	164.14
1.207	163.69
1.217	162.28
1.227	161.26
1.237	159.03
1.247	154.96
1.257	150.73
1.267	151.7
1.277	151.48
1.287	150.39
1.297	150.95
1.307	152.35
1.317	151.77
1.327	148.42
1.337	148.91
1.347	152.14
1.357	151.61
1.367	146.77
1.377	147.4
1.387	153.44
1.397	150.28
1.407	149.38
1.417	152.05
1.427	152.31
1.477	79.11
1.487	79.26
1.497	79.86
1.507	80.74
1.517	79.88
1.527	79.49
1.537	80.79
1.547	81.01
1.557	80.87
1.567	81.56
1.577	82.58
1.587	83.18
1.597	82.81
1.607	82.13
1.617	83.23
1.677	156.36
1.687	150.09
1.697	143.81
1.707	135.76
1.717	133.35
1.727	133.83
1.737	131.11
1.747	129.75
1.757	129.2
1.767	129.76
1.777	129.31
2.257	184.76
2.267	188.66
2.277	186.97
2.287	183.69
2.297	178.7
2.307	170.27
2.377	178.22
2.387	178.12
2.547	201.42
2.557	193.94
2.567	173.06
2.577	168.04
2.587	165.6
2.597	162.77
2.607	159.28
2.617	156.1
2.627	152.43
2.637	149.15
2.647	147.6
2.657	147.06
2.667	146.95
2.677	146.29
2.687	145.21
2.697	144.66
2.707	147.63
2.717	145.96
2.727	141.58
2.737	143.6
2.747	142.79
2.757	140.7
2.767	145.71
2.777	147.36
2.787	143.09
2.797	139.58
2.877	143.52
2.887	149.45
2.897	151.58
2.907	154.46
2.917	151.44
2.927	147.12
2.967	164.07
2.977	160.63
2.987	158.75
2.997	155.24
3.007	154.36
3.017	153.93
3.027	152.47
3.037	153.72
3.047	153.42
3.057	151.53
3.067	151.05
3.077	135.98
3.087	130.04
3.097	130.6
3.107	136.27
3.117	136.04
3.127	135.24
3.137	133.42
3.147	145.15
3.157	153.26
3.167	160.96
3.177	164.07
3.187	166.67
3.197	167.62
3.207	167.64
3.217	167.55
3.227	167.06
3.237	165.72
3.247	163.96
3.257	162.87
3.267	82.72
3.277	83.46
3.287	83.64
3.297	86.53
3.317	76.77
3.327	75.95
3.337	73.35
3.347	71.15
3.357	72.04
3.367	71.64
3.377	71.22
3.387	143
3.397	142.17
3.407	143.56
3.417	142.76
3.427	140.65
3.437	140.27
3.447	141.07
3.457	141.89
3.467	142.12
3.477	144.02
3.487	145.87
3.497	142.3
3.507	141.24
3.517	141.39
3.527	142.9
3.537	143.9
3.547	140.23
3.557	139.84
3.767	70.8
3.777	72.15
3.787	72.11
3.797	72.15
3.807	72.28
3.817	72.32
3.827	72.69
3.837	72.66
3.847	71.82
3.857	71.41
3.867	70.66
3.877	70.52
3.887	70.04
3.897	71.05
4.087	152.88
4.097	151.91
4.247	80.45
4.257	80.64
4.267	81.09
4.277	80.69
4.287	79
4.297	77.98
4.307	76.89
4.317	76.81
4.327	75.79
4.337	73.6
4.347	74.59
4.357	74.64
4.367	73.65
4.377	73.64
4.387	74.09
4.397	75.45
4.407	76.26
4.417	75.5
4.427	76.23
4.437	75.94
4.447	75.11
4.457	74.21
4.617	148.06
4.627	148.96
4.637	150.45
4.647	150.94
4.657	150.91
4.667	152.88
4.677	154.57
4.687	146.54
4.707	84.67
4.717	84.06
4.727	84.03
4.767	174.09
4.777	180.57
4.787	185.13
4.887	81.39
4.897	75.06
4.907	73.46
4.917	68.11
4.927	65.84
4.937	64.99
4.947	64.99
4.957	64.21
4.967	67.15
4.977	67.35
4.987	64.35
4.997	64.39
5.007	65.59
5.167	74.14
5.177	72.7
5.187	73.09
5.297	151.83
5.307	153.33
5.317	144.96
5.327	140.74
